基金代码,基金链接,基金名称,日期,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来
165516,http://fund.eastmoney.com/165516.html,信诚周期轮动混合(LOF),03-16,0.96%,3.69%,-18.34%,4.08%,23.41%,92.10%,151.02%,127.81%,-7.20%,500.67%
004374,http://fund.eastmoney.com/004374.html,华泰保兴吉年丰混合发起A,03-16,0.19%,2.12%,-18.58%,6.61%,16.34%,55.56%,150.68%,117.39%,-2.27%,155.17%
005136,http://fund.eastmoney.com/005136.html,华安幸福生活混合,03-16,0.76%,1.63%,-11.94%,9.07%,14.76%,81.85%,150.55%,140.38%,-0.97%,151.03%
570008,http://fund.eastmoney.com/570008.html,诺德周期策略混合,03-16,1.02%,1.73%,-24.58%,-2.58%,15.33%,109.42%,150.07%,119.95%,-9.02%,511.33%
004375,http://fund.eastmoney.com/004375.html,华泰保兴吉年丰混合发起C,03-16,0.19%,2.11%,-18.60%,6.55%,16.22%,55.25%,149.59%,115.81%,-2.32%,152.74%
002669,http://fund.eastmoney.com/002669.html,华商万众创新混合,03-16,1.63%,3.77%,-21.94%,-2.60%,10.14%,72.64%,149.46%,155.96%,-9.32%,106.30%
003889,http://fund.eastmoney.com/003889.html,汇安丰泽混合A,03-16,2.17%,3.52%,-9.51%,7.44%,21.98%,71.32%,149.25%,170.81%,3.18%,316.25%
005827,http://fund.eastmoney.com/005827.html,易方达蓝筹精选混合,03-16,1.94%,4.46%,-19.03%,7.17%,24.64%,108.33%,149.22%,---,-0.31%,185.73%
003890,http://fund.eastmoney.com/003890.html,汇安丰泽混合C,03-16,2.17%,3.52%,-9.52%,7.42%,21.93%,71.21%,149.02%,165.18%,3.16%,307.01%
003095,http://fund.eastmoney.com/003095.html,中欧医疗健康混合A,03-16,0.97%,3.07%,-23.83%,-2.15%,12.28%,69.66%,148.47%,160.87%,-8.57%,232.09%
001301,http://fund.eastmoney.com/001301.html,大成睿景灵活配置混合C,03-16,0.49%,5.15%,-3.26%,26.81%,26.51%,115.87%,148.40%,114.45%,18.52%,63.20%
002846,http://fund.eastmoney.com/002846.html,泓德泓华混合,03-16,1.22%,1.44%,-19.60%,1.28%,19.25%,97.16%,148.33%,154.46%,-6.34%,167.94%
400032,http://fund.eastmoney.com/400032.html,东方主题精选混合,03-16,1.53%,3.86%,-8.78%,15.58%,28.24%,96.03%,147.81%,99.78%,3.38%,44.30%
