持仓截止日期,股票名称,持仓评分
2020-03-31,贵州茅台,0.753345819853567
2020-03-31,五粮液,0.5264288071845757
2020-03-31,长春高新,0.5134995210044638
2020-03-31,立讯精密,0.5089870706750219
2020-03-31,顺鑫农业,0.37932909988627617
2020-03-31,宁德时代,0.36555455741951665
2020-03-31,泸州老窖,0.34467636015878544
2020-03-31,牧原股份,0.33723965765338165
2020-03-31,隆基股份,0.327090004433716
2020-03-31,迈瑞医疗,0.3267244301260683
2020-03-31,亿纬锂能,0.3195019327472377
2020-03-31,古井贡酒,0.31526996486830894
2020-03-31,保利地产,0.29776439610937844
2020-03-31,恒瑞医药,0.29342747378257705
2020-03-31,康泰生物,0.2890215468060126
2020-03-31,普洛药业,0.28571428571428564
2020-03-31,浪潮信息,0.2796339646733348
2020-03-31,三一重工,0.2783481633584304
2020-03-31,格力电器,0.27494955393915094
2020-03-31,永辉超市,0.26175755745746687
2020-06-30,贵州茅台,0.7990880312300096
2020-06-30,五粮液,0.64857763825163
2020-06-30,立讯精密,0.6457256829616667
2020-06-30,宁德时代,0.6249972765176398
2020-06-30,长春高新,0.5009239195646498
2020-06-30,隆基股份,0.4890442789202806
2020-06-30,亿纬锂能,0.44202250943704385
2020-06-30,泸州老窖,0.41001024664220515
2020-06-30,恒瑞医药,0.3697279433227625
2020-06-30,山西汾酒,0.3648607546303954
2020-06-30,古井贡酒,0.34465707833115417
2020-06-30,金山办公,0.3300391041592606
2020-06-30,芒果超媒,0.3092251720038904
2020-06-30,三七互娱,0.30607364897178385
2020-06-30,中国中免,0.2962539552924365
2020-06-30,顺鑫农业,0.2954239013786082
2020-06-30,格力电器,0.2901631686349071
2020-06-30,恒生电子,0.28158170433596197
2020-06-30,药明康德,0.2781718130355159
2020-06-30,美的集团,0.27432532577225627
2020-09-30,贵州茅台,0.7230679210218225
2020-09-30,隆基股份,0.7087577120469647
2020-09-30,五粮液,0.7059244539028346
2020-09-30,立讯精密,0.6082731741759959
2020-09-30,宁德时代,0.5672984298975968
2020-09-30,泸州老窖,0.5520333121795112
2020-09-30,中国中免,0.4513525404700135
2020-09-30,歌尔股份,0.43388996580348915
2020-09-30,通威股份,0.3545709158602646
2020-09-30,迈瑞医疗,0.35031671715780777
2020-09-30,美的集团,0.3348300111700203
2020-09-30,古井贡酒,0.3331151790876917
2020-09-30,汇川技术,0.33005893909626716
2020-09-30,恒瑞医药,0.3239357579968467
2020-09-30,亿纬锂能,0.31072933013958864
2020-09-30,药明康德,0.29988556435311775
2020-09-30,长城汽车,0.2836602049675833
2020-09-30,赣锋锂业,0.2727718316386094
2020-09-30,长春高新,0.25581448827444114
2020-09-30,爱尔眼科,0.23962344886606762
